partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
2. Not very strong Democrat,322755,2. Liberal,44,His beliefs on the issues that are important to me are in line with how I feel.,NA,NA,Social InjusticeHandling of the PandemicClimate change viewpoint,systemic racismclimateeconomyhealth
1. Strong Democrat,322762,1. Extremely liberal,45,He's not Donald Trump,NA,NA,His political views and disregard for humanity and our planet.,NA
2. Not very strong Democrat,322786,2. Liberal,80. Age 80 or older,"He is an intelligent, well-spoken individual that has experience in the senate and as vice-president. He comes from a working class family and can relate to those of middle or lower class.",NA,NA,"He lies. Frequently. He does more to harm Americans than anyone else in government. He seems like he doesn't know what's going on, but then it turns out he did all along. And despite knowing, he just let people die. He incites racism and hatred. He splits everything and everyone by ""red"" or ""blue."" He only considers ""red"" people to be his constituents. And he doesn't even really care about them unless they give him huge amounts of money. He doesn't even care about the ones that vote for him. They are nothing more than an means to and end for him.","Coronavirus, the rising numbers, the way folks are not willing to do what is needed to get the virus under control, such are wearing masks and social distance. The lack of leadership on the federal level."
7. Strong Republican,322816,6. Conservative,59,NA,"He is senile, he is liberal, he has done nothing significant in all of his many years in office.","he is a strong leader, he has done more in his first four years for this country than any president in the modern era,",NA,moral decline people don’t care if they do right or wrong
3. Independent-Democrat,322830,3. Slightly liberal,69,"Maturity, political expertise, embraces science, much more empathetic to disadvantaged people, could be a better unifier for the country.",NA,NA,"His unfiltered style of communicating unsubstantiated conspiracy theories, lies, disregard for science for political gains, disregard and lack of empathy for disadvantaged people of color.  He is not a unifying president, has only added to the divide we are in now. Not a good president during the pandemic.","Campaign Finance, Corporate Socialism, Access to Quality Child Care, Student Debt, The Wealth Gap, Automation, COVID-19, A Bloated Defense Budget, Artificially High Prices for Prescription Drugs and Medical Services (especially regarding elder care), and many, many more...."
2. Not very strong Democrat,322847,99. Haven't thought much about this,47,NA,NA,NO POLITICAL EXPERIENCE,NA,THE PANDEMIC
7. Strong Republican,322854,6. Conservative,60,NA,"I don't agree with his policies on abortion, economy, socialism, etc.","I appreciate the way he treats the veterans, his stand on abortion, the economy, medical.  He loves the USA.",NA,NA
2. Not very strong Democrat,322861,2. Liberal,39,"Vice President (experience), Veteran, Family man",NA,NA,"His personality, trustworthiness, handling of COVID-19",The handling of COVID-19 and keeping Americans safe.
7. Strong Republican,322892,7. Extremely conservative,80. Age 80 or older,NA,he is too far left  and bad vp selection,he is not a career politician. he is for America first,NA,liberals and socialist in congress
7. Strong Republican,322946,6. Conservative,58,NA,"I don't agree with the progressive policies that he espouses. I'm pro-life, he's pro-abortion. Almost every conservative value that I hold, he holds the opposite.","I like the selections he has made thus far for the Supreme Court as well as filling Federal judicial vacancies. I like the tax cut that he pushed for. I like his stance on pro-life. I like his stance on pro-law&order. Just about every conservative value that I hold, he holds. I understand he's narcissistic, and probably wouldn't like him as a personal friend, but I do like his policies and the way he takes on the progressive establishment and hits back. Most other Republicans seem to be too afraid to push back for fear of looking foolish, childish or rude.",NA,Trust in the Mainstream Media.Racial Disharmony.
5. Independent-Republican,322984,5. Slightly conservative,62,NA,NA,Track record speaks for itself,NA,Election process
1. Strong Democrat,323000,99. Haven't thought much about this,48,NA,NA,NA,Everything.  He is not fit to be our President.  He says and does many things that does not represent how a President should behave.,Pandemic.  Schools.
7. Strong Republican,323017,4. Moderate; middle of the road,35,NA,NA,NA,NA,pandemic- extent it has created difficulties in US
1. Strong Democrat,323024,4. Moderate; middle of the road,43,His personality and way he tackle his social and political activities in the country .He look at things differently  as compare to the President now and secondly the way he sees and traet humanity id different from our President with example to the covid 19 pandemic.,He got the ecperince to rule us because he has been in the white before and know what it take to rule America and we that Experince we will be happy Americans like before during his resign with President Obama.,NA,NA,One of the greatest problem we are facing now is the pandemics covid 19 and also to make the country get to the respect the world again
